"","genes","TS","SD"
"959","SULT1C2",0.283958377673305,1.10317232298407
"960","CSF1R",0.278639902194836,1.02692189552888
"961","TJP1",0.277491708164737,1.16717362556411
"962","NR2F1",0.27239623163365,1.0997718921899
"963","GRIK2",0.271971976511455,1.33155691807031
"964","BBC3",0.271639345595972,1.43757715133097
"965","ASMT",0.266907023821828,1.03196472085042
"966","PERP",0.2613547889192,0.933890693011893
"967","ACSL3",0.25427072854662,0.964010426294914
"968","FSCN1",0.252603508735684,1.24038177968296
"969","CNN1",0.247281021306899,1.33707627332502
"970","STAT2",0.247037863380746,0.982514523460074
"971","KIT",0.245893910262977,1.19849758384647
"972","RASSF5",0.245092459567669,0.985661645033668
"973","PRPF3",0.243622511907122,1.06696772483599
"974","ABCA4",0.241121850900567,1.55651145324029
"975","HLA-DPB1",0.228472028077392,1.01244620199803
"976","TXN",0.225468769460363,1.2542508619638
"977","TNFRSF9",0.220460510027109,1.15377103574305
"978","HEYL",0.219199548804666,1.35196957635562
